num_layers,layer_size,activation,learning_rate,dropout,accuracy,precision,recall
4,1024,elu,0.1,0.5,0.5684261974584556,0,0.0
4,1024,tanh,0.001,0,0.5158846529814272,0.4425440940673437,0.46885617214043035
4,1024,tanh,0.001,0.2,0.5241935483870968,0.44777841892671666,0.43941109852774635
4,1024,tanh,0.001,0.5,0.5276148582600195,0.44816883923029177,0.4088335220838052
4,1024,tanh,0.01,0,0.5654936461388075,0.3888888888888889,0.01189127972819932
4,1024,tanh,0.01,0.2,0.4318181818181818,0.4316124296550037,0.9988674971687429
4,1024,tanh,0.01,0.5,0.43132942326490714,0.4314348570031777,0.9994337485843715
4,1024,tanh,0.1,0,0.4310850439882698,0.4311949069539667,0.9971687429218573
4,1024,tanh,0.1,0.2,0.4315738025415445,0.4315738025415445,1.0
4,1024,tanh,0.1,0.5,0.4315738025415445,0.4315738025415445,1.0
4,2048,elu,0.001,0,0.521505376344086,0.4416767922235723,0.4116647791619479
4,2048,elu,0.001,0.2,0.5261485826001955,0.45228902371759516,0.464326160815402
4,2048,elu,0.001,0.5,0.5613391984359726,0.45821325648414984,0.09003397508493771
4,2048,elu,0.01,0,0.5684261974584556,0,0.0
4,2048,elu,0.01,0.2,0.5684261974584556,0,0.0
4,2048,elu,0.01,0.5,0.5684261974584556,0,0.0
4,2048,elu,0.1,0,0.5684261974584556,0,0.0
4,2048,elu,0.1,0.2,0.4315738025415445,0.4315738025415445,1.0
4,2048,elu,0.1,0.5,0.5684261974584556,0,0.0
4,2048,tanh,0.001,0,0.5659824046920822,0.4,0.011325028312570781
4,2048,tanh,0.001,0.2,0.5034213098729228,0.42569832402234636,0.43148357870894677
4,2048,tanh,0.001,0.5,0.5151515151515151,0.43890134529147984,0.4433748584371461
4,2048,tanh,0.01,0,0.5410557184750733,0.37719298245614036,0.09739524348810873
4,2048,tanh,0.01,0.2,0.4318181818181818,0.4316792960156441,1.0
4,2048,tanh,0.01,0.5,0.43132942326490714,0.43089430894308944,0.9903737259343148
4,2048,tanh,0.1,0,0.5681818181818182,0.3333333333333333,0.0005662514156285391
4,2048,tanh,0.1,0.2,0.4318181818181818,0.4316792960156441,1.0
4,2048,tanh,0.1,0.5,0.5684261974584556,0,0.0
